Symbol,Name,Last Sale,Net Change,% Change,Market Cap
MET,"MetLife, Inc. Common Stock",$58.99,1.29,2.236%,"51,640,728,313"
EPD,Enterprise Products Partners L.P. Common Stock,$23.63,-0.13,-0.547%,"51,635,770,389"
AMOV,"America Movil, S.A.B. de C.V. Class A American Depositary Shares",$15.62,0.09,0.58%,"51,624,100,000"
TRI,Thomson Reuters Corp Ordinary Shares,$103.65,1.03,1.004%,"51,374,596,595"
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$3.26,0.06,1.875%,"51,309,855,329"
CM,Canadian Imperial Bank of Commerce Common Stock,$113.44,2.23,2.005%,"50,945,124,213"
RACE,Ferrari N.V. Common Shares,$205.61,1.47,0.72%,"50,938,941,563"
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$196.27,-0.28,-0.142%,"50,807,565,247"
FCX,"Freeport-McMoRan, Inc. Common Stock",$34.65,1.70,5.159%,"50,780,504,417"
JCI,Johnson Controls International plc Ordinary Share,$70.56,0.82,1.176%,"50,571,416,821"
KDP,Keurig Dr Pepper Inc. Common Stock,$35.50,-0.39,-1.087%,"50,318,509,933"
LFC,China Life Insurance Company Limited American Depositary Shares,$8.81,0.04,0.456%,"49,802,410,210"
BBD,Banco Bradesco Sa American Depositary Shares,$4.64,0.04,0.87%,"49,606,182,135"
VEEV,Veeva Systems Inc. Class A Common Stock,$323.87,-0.09,-0.028%,"49,525,963,327"
CMG,"Chipotle Mexican Grill, Inc. Common Stock",$1755.99,181.64,11.537%,"49,431,959,619"
PUK,Prudential Public Limited Company Common Stock,$37.78,1.68,4.654%,"49,408,901,991"
MNST,Monster Beverage Corporation,$93.35,-0.36,-0.384%,"49,341,282,957"
SCCO,Southern Copper Corporation Common Stock,$63.55,1.51,2.434%,"49,128,806,245"
ALGN,"Align Technology, Inc. Common Stock",$619.65,3.94,0.64%,"49,036,978,699"
ING,"ING Group, N.V. Common Stock",$12.52,0.42,3.471%,"48,869,673,433"
BIIB,Biogen Inc. Common Stock,$322.96,0.47,0.146%,"48,623,162,060"
KLAC,KLA Corporation Common Stock,$316.88,14.11,4.66%,"48,571,931,397"
NEM,Newmont Corporation,$60.36,-0.08,-0.132%,"48,358,134,819"
CP,Canadian Pacific Railway Limited Common Stock,$72.30,0.43,0.598%,"48,196,374,758"
COIN,"Coinbase Global, Inc. Class A Common Stock",$230.87,5.91,2.627%,"48,173,827,569"
KHC,The Kraft Heinz Company Common Stock,$39.37,-0.03,-0.076%,"48,155,310,776"
MRVL,"Marvell Technology, Inc. Common Stock",$58.33,1.77,3.129%,"47,801,435,000"
EBAY,eBay Inc. Common Stock,$69.86,0.29,0.417%,"47,592,937,891"
TT,Trane Technologies plc,$198.67,2.19,1.115%,"47,511,435,216"
TRP,TC Energy Corporation Common Stock,$48.47,0.85,1.785%,"47,452,130,000"
SPOT,Spotify Technology S.A. Ordinary Shares,$247.91,1.41,0.572%,"47,345,465,804"
TROW,"T. Rowe Price Group, Inc. Common Stock",$207.36,3.08,1.508%,"47,040,772,032"
